Formula,Fractional Enrichment,Fractional Enrichment with zero,Label,Name,Sample,Truth Value_x,Intensity,Unlabeled Fragment,Indistinguishale_isotope,NA Corrected,NA Corrected with zero,Pool_total,Truth Value_y
C10H15N5O10P2,0.0029,0.0029,C13-label-2,ADP,091215_240M,False,246.4023,ADP,{},138.67875266,138.67875266,48335.2888504,False
C10H15N5O10P2,0.0099,0.0099,C13-label-2,ADP,091215_15i,False,924.4905,ADP,{},762.85491925,762.85491925,77410.1175752,False
C10H15N5O10P2,0.0044,0.0044,C13-label-2,ADP,091215_240i,False,391.6648,ADP,{},267.519930173,267.519930173,60814.1278886,False
C10H15N5O10P2,0.0101,0.0101,C13-label-2,ADP,091215_15M,False,1074.672,ADP,{},976.256403668,976.256403668,96192.29878,False
C10H15N5O10P2,0.0,0.0,C13-label-2,ADP,091215_120M,False,181.9534,ADP,{},-8.8134489124,0.0,41231.0085178,True
C10H15N5O10P2,0.0076,0.0076,C13-label-2,ADP,091215_3i,False,1376.097,ADP,{},965.159265836,965.159265836,127167.007536,False
C10H15N5O10P2,0.0114,0.0114,C13-label-2,ADP,091215_1M,False,1037.618,ADP,{},895.434220844,895.434220844,78287.9792728,False
C10H15N5O10P2,0.0056,0.0056,C13-label-2,ADP,091215_45i,False,1017.003,ADP,{},707.284397658,707.284397658,125202.79002,False
C10H15N5O10P2,0.0084,0.0084,C13-label-2,ADP,091215_3M,False,2689.881,ADP,{},1880.52867754,1880.52867754,223871.971567,False
C10H15N5O10P2,0.0092,0.0092,C13-label-2,ADP,091215_1i,False,1061.901,ADP,{},842.462482087,842.462482087,91674.353709,False
C10H15N5O10P2,0.0123,0.0123,C13-label-2,ADP,091215_45M,False,1502.739,ADP,{},1220.48587507,1220.48587507,99417.7860969,False
C10H15N5O10P2,0.0114,0.0114,C13-label-2,ADP,091215_0i,False,1183.393,ADP,{},1059.47823467,1059.47823467,92841.1462573,False
C10H15N5O10P2,0.0072,0.0072,C13-label-2,ADP,091215_0M,False,739.3201,ADP,{},550.363665787,550.363665787,76500.3248155,False
C10H15N5O10P2,0.0,0.0,C13-label-1,ADP,091215_5i,False,7664.256,ADP,{},-1844.007194,0.0,94134.6080651,True
C10H15N5O10P2,0.0,0.0,C13-label-1,ADP,091215_120i,False,5397.722,ADP,{},-1218.68635589,0.0,74211.6051908,True
C10H15N5O10P2,0.0,0.0,C13-label-1,ADP,091215_5M,False,8445.694,ADP,{},-843.124867724,0.0,92674.8205686,True
C10H15N5O10P2,0.0,0.0,C13-label-1,ADP,091215_240M,False,3494.797,ADP,{},-1246.72802153,0.0,48335.2888504,True
C10H15N5O10P2,0.0,0.0,C13-label-1,ADP,091215_15i,False,6062.266,ADP,{},-1738.19947159,0.0,77410.1175752,True
C10H15N5O10P2,0.0,0.0,C13-label-1,ADP,091215_240i,False,3818.151,ADP,{},-1003.86217548,0.0,60814.1278886,True
C10H15N5O10P2,0.0,0.0,C13-label-1,ADP,091215_15M,False,6573.253,ADP,{},-3288.01747075,0.0,96192.29878,True
C10H15N5O10P2,0.0036,0.0036,C13-label-1,ADP,091215_120M,False,3628.703,ADP,{},147.226362765,147.226362765,41231.0085178,False
C10H15N5O10P2,0.0,0.0,C13-label-1,ADP,091215_3i,False,11211.09,ADP,{},-1595.61701515,0.0,127167.007536,True
C10H15N5O10P2,0.0,0.0,C13-label-1,ADP,091215_1M,False,6040.156,ADP,{},-1891.63376688,0.0,78287.9792728,True
